rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
157,frame_0306.jpg,122.4,0.4527,0.7345,0.125,0.24,6,1,False,False
158,frame_0019.jpg,7.6,0.4509,0.4267,0.125,1.0,3,1,False,False
159,frame_0185.jpg,74.0,0.4496,0.5672,0.5,0.08,10,4,False,False
160,frame_0385.jpg,154.0,0.4492,0.5184,0.5,0.2,10,4,False,False
161,frame_0283.jpg,113.2,0.4489,0.5398,0.25,0.52,5,2,False,False
162,frame_0315.jpg,126.0,0.4481,0.4731,0.625,0.12,8,5,False,False
163,frame_0088.jpg,35.2,0.4478,0.4945,0.375,0.44,5,3,False,False
164,frame_0228.jpg,91.2,0.4473,0.5786,0.5,0.04,6,4,False,False
165,frame_0090.jpg,36.0,0.4471,0.5252,0.375,0.36,6,3,False,False
166,frame_0316.jpg,126.4,0.446,0.528,0.5,0.16,8,4,False,False
167,frame_0370.jpg,148.0,0.4428,0.4946,0.625,0.04,9,5,False,False
168,frame_0084.jpg,33.6,0.4422,0.4945,0.25,0.6,3,2,False,False
169,frame_0329.jpg,131.6,0.4411,0.6252,0.375,0.08,11,3,False,False
170,frame_0213.jpg,85.2,0.441,0.433,0.375,0.56,4,3,False,False
171,frame_0215.jpg,86.0,0.4405,0.539,0.25,0.48,4,2,False,False
172,frame_0311.jpg,124.4,0.4346,0.5533,0.5,0.04,5,4,False,False
173,frame_0104.jpg,41.6,0.4328,0.6676,0.25,0.12,4,2,False,False
174,frame_0024.jpg,9.6,0.4305,0.386,0.125,1.0,3,1,False,False
175,frame_0199.jpg,79.6,0.4289,0.5157,0.25,0.48,2,2,False,False
176,frame_0216.jpg,86.4,0.4286,0.5311,0.25,0.44,4,2,False,False
177,frame_0028.jpg,11.2,0.4269,0.3037,0.25,1.0,5,2,False,False
178,frame_0219.jpg,87.6,0.4264,0.4998,0.375,0.32,4,3,False,False
179,frame_0297.jpg,118.8,0.4254,0.5358,0.125,0.6,7,1,False,False
180,frame_0314.jpg,125.6,0.4249,0.5177,0.5,0.08,5,4,False,False
181,frame_0390.jpg,156.0,0.4242,0.5914,0.375,0.08,8,3,False,False
182,frame_0087.jpg,34.8,0.4224,0.5779,0.125,0.48,4,1,False,False
183,frame_0172.jpg,68.8,0.4201,0.4553,0.375,0.4,7,3,False,False
184,frame_0121.jpg,48.4,0.419,0.4639,0.25,0.56,4,2,False,False
185,frame_0023.jpg,9.2,0.4148,0.2796,0.25,1.0,4,2,False,False
186,frame_0281.jpg,112.4,0.4143,0.5025,0.25,0.44,5,2,False,False
187,frame_0103.jpg,41.2,0.4142,0.5393,0.375,0.16,5,3,False,False
188,frame_0226.jpg,90.4,0.4138,0.5116,0.5,0.04,7,4,False,False
189,frame_0218.jpg,87.2,0.4124,0.6058,0.125,0.36,3,1,False,False
190,frame_0027.jpg,10.8,0.4115,0.348,0.125,1.0,6,1,False,False
191,frame_0208.jpg,83.2,0.4075,0.361,0.25,0.76,5,2,False,False
192,frame_0233.jpg,93.2,0.4068,0.5676,0.25,0.24,6,2,False,False
193,frame_0330.jpg,132.0,0.4032,0.5653,0.375,0.04,10,3,False,False
194,frame_0025.jpg,10.0,0.4031,0.3311,0.125,1.0,3,1,False,False
195,frame_0097.jpg,38.8,0.4017,0.5464,0.375,0.08,7,3,False,False
196,frame_0094.jpg,37.6,0.4012,0.4974,0.375,0.2,6,3,False,False
197,frame_0289.jpg,115.6,0.3984,0.4928,0.0,0.76,5,0,False,False
198,frame_0225.jpg,90.0,0.394,0.531,0.375,0.08,7,3,False,False
199,frame_0279.jpg,111.6,0.3916,0.4892,0.25,0.36,6,2,False,False
200,frame_0108.jpg,43.2,0.3906,0.5403,0.375,0.04,8,3,False,False
201,frame_0083.jpg,33.2,0.3885,0.3709,0.25,0.64,4,2,False,False
202,frame_0112.jpg,44.8,0.3856,0.5411,0.25,0.2,5,2,False,False
203,frame_0174.jpg,69.6,0.3848,0.4916,0.25,0.32,7,2,False,False
204,frame_0111.jpg,44.4,0.3824,0.5509,0.25,0.16,4,2,False,False
205,frame_0205.jpg,82.0,0.3824,0.3268,0.25,0.72,4,2,False,False
206,frame_0171.jpg,68.4,0.3805,0.4349,0.25,0.44,9,2,False,False
207,frame_0269.jpg,107.6,0.3772,0.5135,0.375,0.04,7,3,False,False
208,frame_0180.jpg,72.0,0.3757,0.4194,0.5,0.08,8,4,False,False
209,frame_0194.jpg,77.6,0.3755,0.4139,0.375,0.28,6,3,False,False
210,frame_0393.jpg,157.2,0.3676,0.4192,0.5,0.04,6,4,False,False
211,frame_0267.jpg,106.8,0.366,0.459,0.375,0.12,6,3,False,False
212,frame_0092.jpg,36.8,0.3644,0.4669,0.25,0.28,4,2,False,False
213,frame_0222.jpg,88.8,0.364,0.4231,0.375,0.2,5,3,False,False
214,frame_0195.jpg,78.0,0.3582,0.4384,0.25,0.32,4,2,False,False
215,frame_0391.jpg,156.4,0.3581,0.4752,0.375,0.04,10,3,False,False
216,frame_0191.jpg,76.4,0.3515,0.4889,0.25,0.16,8,2,False,False
217,frame_0179.jpg,71.6,0.3499,0.5017,0.25,0.12,9,2,False,False
218,frame_0371.jpg,148.4,0.348,0.439,0.375,0.08,8,3,False,False
219,frame_0309.jpg,123.6,0.3469,0.4958,0.25,0.12,8,2,False,False
